diagram,section,category,label,x,y,width,height,color,notes
TO-BE,Email Intake,EVENT,Email Content Fetched,460,450,180,110,#ffc78f,
TO-BE,Email Intake,SYSTEM,Microsoft Graph API,460,600,180,110,#f7b0d8,
TO-BE,Exception Handling,EVENT,Complaint Routed To Human Review,460,1500,180,110,#ffc78f,
TO-BE,Exception Handling,HOTSPOT,Low AI Confidence,460,1650,180,110,#ffb3b3,
TO-BE,Mailbox Reconciliation,COMMAND,Scan Inbox / Junk / Spam,460,2050,180,110,#cfe8ff,
TO-BE,Architecture Principles,POLICY,PostgreSQL Replaces Excel,460,2430,180,110,#d7c6ff,
LEGEND,Legend,SYSTEM,SYSTEM,630,-260,180,70,#f7b0d8,Shared Event Storming legend
TO-BE,Exception Handling,READ MODEL,Human Review Queue,690,1500,180,110,#c9f2a7,
TO-BE,Exception Handling,HOTSPOT,Customer / Order Mismatch,690,1650,180,110,#ffb3b3,
TO-BE,Mailbox Reconciliation,COMMAND,Check Message ID,690,2050,180,110,#cfe8ff,
TO-BE,Architecture Principles,POLICY,Blob Stores Photos,690,2430,180,110,#d7c6ff,
TO-BE,Registration & Storage,SECTION HEADER,Registration & Storage,820,0,340,80,#eeeeee,
TO-BE,Registration & Storage,COMMAND,Register Initial Complaint,820,300,180,110,#cfe8ff,
TO-BE,Registration & Storage,EVENT,Complaint Registered,820,450,180,110,#ffc78f,
TO-BE,Registration & Storage,READ MODEL,PostgreSQL Complaint Registry,820,750,230,110,#c9f2a7,Operational registry replacing Excel
LEGEND,Legend,POLICY,POLICY,840,-260,180,70,#d7c6ff,Shared Event Storming legend
TO-BE,Exception Handling,HOTSPOT,Multiple Defects,920,1650,180,110,#ffb3b3,
TO-BE,Mailbox Reconciliation,READ MODEL,Complaint Registry,920,2050,180,110,#c9f2a7,
TO-BE,Architecture Principles,POLICY,SAP Read-Only In MVP,920,2430,180,110,#d7c6ff,
LEGEND,Legend,READ MODEL,READ MODEL,1050,-260,180,70,#c9f2a7,Shared Event Storming legend
TO-BE,Registration & Storage,COMMAND,Store Attachments,1060,300,180,110,#cfe8ff,
TO-BE,Registration & Storage,EVENT,Attachments Stored,1060,450,180,110,#ffc78f,
TO-BE,Registration & Storage,SYSTEM,Azure Blob Storage,1060,600,180,110,#f7b0d8,
TO-BE,Mailbox Reconciliation,EVENT,Missed Complaint Detected,1150,2050,180,110,#ffc78f,
TO-BE,Architecture Principles,POLICY,AI Suggests Only,1150,2430,180,110,#d7c6ff,
LEGEND,Legend,HOTSPOT,HOTSPOT,1260,-260,180,70,#ffb3b3,Shared Event Storming legend
TO-BE,Exception Handling,POLICY,Temporary Error,1380,1500,180,110,#d7c6ff,
TO-BE,Exception Handling,HOTSPOT,Graph API Timeout,1380,1650,180,110,#ffb3b3,
TO-BE,Mailbox Reconciliation,COMMAND,Send To Intake,1380,2050,180,110,#cfe8ff,
TO-BE,Architecture Principles,POLICY,No Final Auto-Decision,1380,2430,180,110,#d7c6ff,
TO-BE,Exception Handling,COMMAND,Schedule Retry,1610,1500,180,110,#cfe8ff,
TO-BE,Exception Handling,HOTSPOT,SAP Timeout,1610,1650,180,110,#ffb3b3,
TO-BE,Mailbox Reconciliation,EVENT,Missed Complaint Reprocessed,1610,2050,180,110,#ffc78f,
TO-BE,Architecture Principles,POLICY,JIRA Is Workspace,1610,2430,180,110,#d7c6ff,
TO-BE,AI Automation,SECTION HEADER,AI Automation,1640,0,340,80,#eeeeee,
TO-BE,AI Automation,COMMAND,Analyze Complaint Email,1640,300,180,110,#cfe8ff,
TO-BE,AI Automation,POLICY,AI Suggests Only,1640,900,180,110,#d7c6ff,
TO-BE,AI Automation,HOTSPOT,AI Hallucination Risk,1640,1050,180,110,#ffb3b3,
TO-BE,Exception Handling,EVENT,Retry Scheduled,1840,1500,180,110,#ffc78f,
TO-BE,Exception Handling,HOTSPOT,JIRA Timeout,1840,1650,180,110,#ffb3b3,
TO-BE,Architecture Principles,POLICY,Human Approves Risky Cases,1840,2430,180,110,#d7c6ff,
TO-BE,AI Automation,EVENT,Complaint Data Extracted,1870,450,180,110,#ffc78f,
TO-BE,AI Automation,SYSTEM,AI Extraction Service,1870,600,180,110,#f7b0d8,
TO-BE,AI Automation,POLICY,Human Decides Risky Cases,1870,900,180,110,#d7c6ff,
TO-BE,AI Automation,HOTSPOT,Ambiguous Defect Description,1870,1050,180,110,#ffb3b3,
TO-BE,Exception Handling,READ MODEL,Retry Queue,2070,1500,180,110,#c9f2a7,
TO-BE,Exception Handling,HOTSPOT,Blob Timeout,2070,1650,180,110,#ffb3b3,
TO-BE,AI Automation,COMMAND,Extract Order Number,2100,300,180,110,#cfe8ff,
TO-BE,AI Automation,POLICY,Low Confidence -> Human Review,2100,900,180,110,#d7c6ff,
TO-BE,AI Automation,HOTSPOT,Multiple Defects In Email,2100,1050,180,110,#ffb3b3,
TO-BE,AI Automation,EVENT,Order Number Extracted,2330,450,180,110,#ffc78f,
TO-BE,AI Automation,POLICY,Missing Info -> Human Review,2330,900,180,110,#d7c6ff,
TO-BE,AI Automation,HOTSPOT,Poor Photo Quality,2330,1050,180,110,#ffb3b3,
TO-BE,Customer & SAP Validation,SECTION HEADER,Customer & SAP Validation,2460,0,340,80,#eeeeee,
TO-BE,AI Automation,COMMAND,Summarize Defect,2560,300,180,110,#cfe8ff,
TO-BE,Exception Handling,POLICY,Retry Limit Exceeded,2760,1500,180,110,#d7c6ff,
TO-BE,Exception Handling,HOTSPOT,Permanent Failure,2760,1650,180,110,#ffb3b3,
TO-BE,AI Automation,EVENT,Defect Summary Created,2790,450,180,110,#ffc78f,
TO-BE,Exception Handling,COMMAND,Move To Dead Letter,2990,1500,180,110,#cfe8ff,
TO-BE,Exception Handling,HOTSPOT,Corrupted Payload,2990,1650,180,110,#ffb3b3,
TO-BE,AI Automation,COMMAND,Suggest Defect Category,3020,300,180,110,#cfe8ff,
TO-BE,Exception Handling,EVENT,Moved To Dead Letter,3220,1500,180,110,#ffc78f,
TO-BE,AI Automation,EVENT,Defect Category Suggested,3250,450,180,110,#ffc78f,
TO-BE,Orchestration,SECTION HEADER,Orchestration,3280,0,340,80,#eeeeee,
TO-BE,Customer & SAP Validation,COMMAND,Match Customer,3420,300,180,110,#cfe8ff,
TO-BE,Customer & SAP Validation,EVENT,Customer Matched,3420,450,180,110,#ffc78f,
TO-BE,Customer & SAP Validation,SYSTEM,PostgreSQL Customer DB,3420,600,230,110,#f7b0d8,Read-only customer database
TO-BE,Exception Handling,READ MODEL,Dead Letter Queue,3450,1500,180,110,#c9f2a7,
TO-BE,AI Automation,COMMAND,Calculate AI Confidence,3480,300,180,110,#cfe8ff,
TO-BE,Customer & SAP Validation,EVENT,Customer Not Found,3650,450,180,110,#ffc78f,
TO-BE,AI Automation,EVENT,AI Confidence Calculated,3710,450,180,110,#ffc78f,
TO-BE,Customer & SAP Validation,COMMAND,Validate Order In SAP,3880,300,180,110,#cfe8ff,
TO-BE,Customer & SAP Validation,EVENT,SAP Order Data Retrieved,3880,450,180,110,#ffc78f,
TO-BE,Customer & SAP Validation,SYSTEM,SAP ERP PP/QM,3880,600,180,110,#f7b0d8,
TO-BE,AI Automation,COMMAND,Detect Missing Information,3940,300,180,110,#cfe8ff,
TO-BE,JIRA & Human Review,SECTION HEADER,JIRA & Human Review,4100,0,340,80,#eeeeee,
TO-BE,Customer & SAP Validation,EVENT,SAP Order Not Found,4110,450,180,110,#ffc78f,
TO-BE,Customer & SAP Validation,READ MODEL,SAP API Note,4110,750,440,130,#c9f2a7,SAP ERP PP/QM read-only REST API: GET /api/v1/orders/{id}; GET /api/v1/batches/{id}; rate limit 100 req/min; MVP does not modify SAP data
TO-BE,AI Automation,EVENT,Missing Information Detected,4170,450,180,110,#ffc78f,
TO-BE,Customer & SAP Validation,COMMAND,Retrieve Batch Data,4340,300,180,110,#cfe8ff,
TO-BE,Customer & SAP Validation,EVENT,SAP Batch Data Retrieved,4340,450,180,110,#ffc78f,
TO-BE,Customer & SAP Validation,EVENT,SAP Batch Not Found,4570,450,180,110,#ffc78f,
TO-BE,Customer & SAP Validation,COMMAND,Check Previous Complaints,4800,300,180,110,#cfe8ff,
TO-BE,Customer & SAP Validation,EVENT,Previous Complaints Checked,4800,450,180,110,#ffc78f,
TO-BE,Customer & SAP Validation,READ MODEL,Complaint History,4800,750,180,110,#c9f2a7,
TO-BE,Correction / Response / Metrics,SECTION HEADER,Correction / Response / Metrics,4920,0,340,80,#eeeeee,
TO-BE,Orchestration,COMMAND,Evaluate Processing Path,5180,300,180,110,#cfe8ff,
TO-BE,Orchestration,EVENT,Processing Path Selected,5180,450,180,110,#ffc78f,
TO-BE,Orchestration,POLICY,Routing Rules,5180,900,180,110,#d7c6ff,
TO-BE,JIRA & Human Review,COMMAND,Create JIRA Complaint,5520,300,180,110,#cfe8ff,
TO-BE,JIRA & Human Review,EVENT,JIRA Complaint Created,5520,450,180,110,#ffc78f,
TO-BE,JIRA & Human Review,SYSTEM,JIRA Cloud / REK,5520,600,180,110,#f7b0d8,
TO-BE,JIRA & Human Review,ACTOR,Service Specialist,5750,150,180,110,#fff2a8,
TO-BE,JIRA & Human Review,COMMAND,Review Prepared Complaint,5750,300,180,110,#cfe8ff,
TO-BE,JIRA & Human Review,EVENT,Complaint Reviewed,5750,450,180,110,#ffc78f,
TO-BE,JIRA & Human Review,COMMAND,Confirm Or Reject,5980,300,180,110,#cfe8ff,
TO-BE,JIRA & Human Review,EVENT,Decision Made,5980,450,180,110,#ffc78f,
TO-BE,Correction / Response / Metrics,COMMAND,Create JIRA Correction,6210,300,180,110,#cfe8ff,
TO-BE,Correction / Response / Metrics,EVENT,JIRA Correction Created,6210,450,180,110,#ffc78f,
TO-BE,Correction / Response / Metrics,POLICY,If Defect Confirmed,6210,900,180,110,#d7c6ff,
TO-BE,Correction / Response / Metrics,ACTOR,Quality Department,6440,150,180,110,#fff2a8,
TO-BE,Correction / Response / Metrics,COMMAND,Send Customer Response,6440,300,180,110,#cfe8ff,
TO-BE,Correction / Response / Metrics,EVENT,Customer Response Sent,6440,450,180,110,#ffc78f,
TO-BE,Correction / Response / Metrics,COMMAND,Update Metrics,6670,300,180,110,#cfe8ff,
TO-BE,Correction / Response / Metrics,EVENT,Metrics Updated,6670,450,180,110,#ffc78f,
TO-BE,Correction / Response / Metrics,READ MODEL,Metrics Dashboard,6670,750,180,110,#c9f2a7,
BOARD,Divider,DIVIDER,Visual divider,7300,-220,30,2850,#d9d9d9,Keep TO-BE and AS-IS separated
BOARD,Divider,SECTION HEADER,AS-IS Event Storming,7600,-120,520,80,#eeeeee,Right side of board
AS-IS,Email Intake,SECTION HEADER,Email Intake,7600,0,290,80,#eeeeee,
AS-IS,Email Intake,ACTOR,Customer,7600,150,180,110,#fff2a8,
AS-IS,Email Intake,COMMAND,Send Complaint Email,7600,300,180,110,#cfe8ff,
AS-IS,Email Intake,EVENT,Complaint Email Received,7600,450,180,110,#ffc78f,
AS-IS,Email Intake,SYSTEM,Microsoft 365 / Exchange,7600,600,180,110,#f7b0d8,
AS-IS,Email Intake,HOTSPOT,Email In Spam,7600,1050,180,110,#ffb3b3,
AS-IS,Email Intake,HOTSPOT,Delayed Reading,7830,1050,180,110,#ffb3b3,
AS-IS,Manual Reading,SECTION HEADER,Manual Reading,8120,0,290,80,#eeeeee,
AS-IS,Manual Reading,ACTOR,Service Specialist,8120,150,180,110,#fff2a8,
AS-IS,Manual Reading,COMMAND,Read Complaint Email,8120,300,180,110,#cfe8ff,
AS-IS,Manual Reading,EVENT,Complaint Email Read,8120,450,180,110,#ffc78f,
AS-IS,Excel Registration,SECTION HEADER,Excel Registration,8640,0,290,80,#eeeeee,
AS-IS,Excel Registration,COMMAND,Copy Data To Excel,8640,300,180,110,#cfe8ff,
AS-IS,Excel Registration,EVENT,Complaint Registered In Excel,8640,450,180,110,#ffc78f,
AS-IS,Excel Registration,SYSTEM,Excel: Rejestr Reklamacji 2026.xlsx,8640,600,260,110,#f7b0d8,
AS-IS,Excel Registration,READ MODEL,Excel Complaint Register,8640,750,180,110,#c9f2a7,
AS-IS,Excel Registration,HOTSPOT,Manual Data Copying,8640,1050,180,110,#ffb3b3,
AS-IS,Excel Registration,HOTSPOT,Typing Errors Risk,8870,1050,180,110,#ffb3b3,
AS-IS,Manual Classification,SECTION HEADER,Manual Classification,9160,0,290,80,#eeeeee,
AS-IS,Manual Classification,COMMAND,Assign Defect Category,9160,300,180,110,#cfe8ff,
AS-IS,Manual Classification,EVENT,Defect Category Assigned,9160,450,180,110,#ffc78f,
AS-IS,Manual Classification,READ MODEL,Visual / Dimension / Material / Logistics,9160,750,290,110,#c9f2a7,
AS-IS,Manual Classification,HOTSPOT,Subjective Classification,9160,1050,180,110,#ffb3b3,
AS-IS,Manual Classification,HOTSPOT,Inconsistent Categories,9390,1050,180,110,#ffb3b3,
AS-IS,JIRA Complaint,SECTION HEADER,JIRA Complaint,9680,0,290,80,#eeeeee,
AS-IS,JIRA Complaint,COMMAND,Create JIRA Complaint,9680,300,180,110,#cfe8ff,
AS-IS,JIRA Complaint,EVENT,JIRA Complaint Created,9680,450,180,110,#ffc78f,
AS-IS,JIRA Complaint,SYSTEM,JIRA Cloud / REK,9680,600,180,110,#f7b0d8,
AS-IS,JIRA Complaint,READ MODEL,JIRA Complaint Ticket,9680,750,180,110,#c9f2a7,
AS-IS,JIRA Complaint,HOTSPOT,Manual JIRA Creation,9680,1050,180,110,#ffb3b3,
AS-IS,SAP Verification,SECTION HEADER,SAP Verification,10200,0,290,80,#eeeeee,
AS-IS,SAP Verification,COMMAND,Check Order And Batch,10200,300,180,110,#cfe8ff,
AS-IS,SAP Verification,EVENT,SAP Order And Batch Checked,10200,450,180,110,#ffc78f,
AS-IS,SAP Verification,SYSTEM,SAP ERP PP/QM,10200,600,180,110,#f7b0d8,
AS-IS,SAP Verification,READ MODEL,SAP Order / Batch Data,10200,750,180,110,#c9f2a7,
AS-IS,SAP Verification,HOTSPOT,Manual SAP Check,10200,1050,180,110,#ffb3b3,
AS-IS,SAP Verification,HOTSPOT,SAP And JIRA Not Integrated,10430,1050,180,110,#ffb3b3,
AS-IS,Customer Response,SECTION HEADER,Customer Response,10720,0,290,80,#eeeeee,
AS-IS,Customer Response,COMMAND,Write Customer Response,10720,300,180,110,#cfe8ff,
AS-IS,Customer Response,EVENT,Customer Response Sent,10720,450,180,110,#ffc78f,
AS-IS,Customer Response,HOTSPOT,Average Response Around 2 Days,10720,1050,180,110,#ffb3b3,
AS-IS,Correction Path,SECTION HEADER,Correction Path,11240,0,290,80,#eeeeee,
AS-IS,Correction Path,COMMAND,Create JIRA Correction,11240,300,180,110,#cfe8ff,
AS-IS,Correction Path,EVENT,JIRA Correction Created,11240,450,180,110,#ffc78f,
AS-IS,Correction Path,SYSTEM,JIRA Cloud / Correction,11240,600,180,110,#f7b0d8,
AS-IS,Correction Path,POLICY,If Defect Confirmed,11240,900,180,110,#d7c6ff,
AS-IS,Correction Path,ACTOR,Quality Department,11470,150,180,110,#fff2a8,
AS-IS,Process Pain Points,SECTION HEADER,Process Pain Points,11760,0,290,80,#eeeeee,
AS-IS,Process Pain Points,HOTSPOT,40% Emails Delayed,11860,150,180,110,#ffb3b3,
AS-IS,Process Pain Points,HOTSPOT,Backlog 2-3 Days,11860,300,180,110,#ffb3b3,
AS-IS,Process Pain Points,HOTSPOT,No Production Line Visibility,11860,450,180,110,#ffb3b3,
AS-IS,Process Pain Points,HOTSPOT,"Service Specialist Manually Integrates Exchange, Excel, JIRA And SAP",11860,680,670,130,#ffb3b3,AS-IS diagnosis note
AS-IS,Process Pain Points,HOTSPOT,30 Complaints / Day,12090,150,180,110,#ffb3b3,
AS-IS,Process Pain Points,HOTSPOT,No Reliable Metrics,12090,300,180,110,#ffb3b3,
AS-IS,Process Pain Points,HOTSPOT,No Single Source Of Truth,12090,450,180,110,#ffb3b3,
AS-IS,Process Pain Points,HOTSPOT,Peak 80 / Day,12320,150,180,110,#ffb3b3,
AS-IS,Process Pain Points,HOTSPOT,No Category Trends,12320,300,180,110,#ffb3b3,
AS-IS,Process Pain Points,HOTSPOT,Human Connects Systems,12320,450,180,110,#ffb3b3,
